sep=;
time;model_id;model_name;port_name;data
0;3;ask-38;;{1,1,562,0,0}
0;4;filter_s-38;;{0,0}
0;6;ask-35;;{1,1,595,0,0}
0;7;filter_s-35;;{0,0}
0;9;ask-34;;{1,1,664,0,0}
0;10;filter_s-34;;{0,0}
0;12;ask-33;;{1,1,997,0,0}
0;13;filter_s-33;;{0,0}
0;15;ask-32;;{1,1,1052,0,0}
0;16;filter_s-32;;{0,0}
0;18;ask-30;;{1,1,481,0,0}
0;19;filter_s-30;;{0,0}
0;21;ask-27;;{1,1,712,0,0}
0;22;filter_s-27;;{0,0}
0;24;ask-39;;{1,1,463,0,0}
0;25;filter_s-39;;{0,0}
0;27;ask-26;;{1,1,440,0,0}
0;28;filter_s-26;;{0,0}
0;30;ask-23;;{1,1,793,0,0}
0;31;filter_s-23;;{0,0}
0;33;ask-22;;{1,1,793,0,0}
0;34;filter_s-22;;{0,0}
0;36;ask-19;;{1,1,777,0,0}
0;37;filter_s-19;;{0,0}
0;39;bid-19;;{1,1,36,0,0}
0;40;filter_b-19;;{0,0}
0;42;bid-27;;{1,1,45,0,0}
0;43;filter_b-27;;{0,0}
0;45;bid-28;;{1,1,39,0,0}
0;46;filter_b-28;;{0,0}
0;48;ask-17;;{1,1,738,0,0}
0;49;filter_s-17;;{0,0}
0;51;bid-20;;{1,1,44,0,0}
0;52;filter_b-20;;{0,0}
0;54;bid-12;;{1,1,45,0,0}
0;55;filter_b-12;;{0,0}
0;57;ask-6;;{1,1,772,0,0}
0;58;filter_s-6;;{0,0}
0;60;bid-18;;{1,1,44,0,0}
0;61;filter_b-18;;{0,0}
0;63;bid-17;;{1,1,39,0,0}
0;64;filter_b-17;;{0,0}
0;66;ask-15;;{1,1,1086,0,0}
0;67;filter_s-15;;{0,0}
0;69;bid-14;;{1,1,43,0,0}
0;70;filter_b-14;;{0,0}
0;72;bid-13;;{1,1,51,0,0}
0;73;filter_b-13;;{0,0}
0;75;bid-35;;{1,1,42,0,0}
0;76;filter_b-35;;{0,0}
0;78;ask-36;;{1,1,788,0,0}
0;79;filter_s-36;;{0,0}
0;80;auctioneer;;{4,1,0,0,0,0,}
0;82;bid-3;;{1,1,42,0,0}
0;83;filter_b-3;;{0,0}
0;85;ask-29;;{1,1,1069,0,0}
0;86;filter_s-29;;{0,0}
0;88;ask-28;;{1,1,517,0,0}
0;89;filter_s-28;;{0,0}
0;91;bid-33;;{1,1,46,0,0}
0;92;filter_b-33;;{0,0}
0;94;bid-26;;{1,1,45,0,0}
0;95;filter_b-26;;{0,0}
0;97;bid-2;;{1,1,43,0,0}
0;98;filter_b-2;;{0,0}
0;100;ask-3;;{1,1,734,0,0}
0;101;filter_s-3;;{0,0}
0;103;bid-11;;{1,1,46,0,0}
0;104;filter_b-11;;{0,0}
0;106;bid-25;;{1,1,48,0,0}
0;107;filter_b-25;;{0,0}
0;109;ask-4;;{1,1,1136,0,0}
0;110;filter_s-4;;{0,0}
0;112;bid-4;;{1,1,36,0,0}
0;113;filter_b-4;;{0,0}
0;115;bid-16;;{1,1,36,0,0}
0;116;filter_b-16;;{0,0}
0;118;ask-21;;{1,1,497,0,0}
0;119;filter_s-21;;{0,0}
0;121;ask-20;;{1,1,721,0,0}
0;122;filter_s-20;;{0,0}
0;124;bid-39;;{1,1,48,0,0}
0;125;filter_b-39;;{0,0}
0;127;bid-24;;{1,1,49,0,0}
0;128;filter_b-24;;{0,0}
0;130;bid-1;;{1,1,50,0,0}
0;131;filter_b-1;;{0,0}
0;133;ask-25;;{1,1,816,0,0}
0;134;filter_s-25;;{0,0}
0;136;bid-5;;{1,1,46,0,0}
0;137;filter_b-5;;{0,0}
0;139;bid-15;;{1,1,40,0,0}
0;140;filter_b-15;;{0,0}
0;142;bid-31;;{1,1,46,0,0}
0;143;filter_b-31;;{0,0}
0;145;bid-6;;{1,1,44,0,0}
0;146;filter_b-6;;{0,0}
0;148;bid-8;;{1,1,41,0,0}
0;149;filter_b-8;;{0,0}
0;151;ask-37;;{1,1,425,0,0}
0;152;filter_s-37;;{0,0}
0;154;ask-7;;{1,1,735,0,0}
0;155;filter_s-7;;{0,0}
0;157;bid-22;;{1,1,40,0,0}
0;158;filter_b-22;;{0,0}
0;160;bid-9;;{1,1,50,0,0}
0;161;filter_b-9;;{0,0}
0;163;bid-21;;{1,1,48,0,0}
